"map","locus","path_name"
"map05164","TR4310-c0_g1_i1","Influenza A"
"map05164","TR2059-c0_g1_i1","Influenza A"
"map05164","TR11828-c0_g1_i1","Influenza A"
"map05164","TR7084-c0_g1_i1","Influenza A"
"map05164","TR13770-c0_g1_i1","Influenza A"
"map05164","TR452-c0_g1_i1","Influenza A"
"map05164","TR13322-c0_g1_i1","Influenza A"
"map05164","TR8109-c0_g1_i1","Influenza A"
"map05164","TR11389-c0_g1_i1utrorf","Influenza A"
"map05164","TR12971-c0_g1_i1","Influenza A"
"map05164","TR14653-c0_g1_i1","Influenza A"
"map05164","TR9502-c1_g1_i1","Influenza A"
"map05164","TR10057-c0_g1_i1utrorf","Influenza A"
"map05164","TR13993-c0_g1_i1","Influenza A"
"map05164","TR11028-c0_g1_i1","Influenza A"
"map05164","TR1230-c0_g1_i1","Influenza A"
"map05164","TR7233-c0_g1_i1utrorf","Influenza A"
"map05164","TR12543-c0_g1_i1","Influenza A"
"map05164","TR6561-c0_g1_i1","Influenza A"
"map05164","TR7429-c0_g1_i1","Influenza A"
"map05164","TR7349-c0_g1_i1utrorf","Influenza A"
"map05164","TR6400-c0_g1_i1","Influenza A"
"map05164","TR11076-c0_g1_i1","Influenza A"
"map05164","TR9645-c0_g1_i1","Influenza A"
"map05164","TR5235-c0_g1_i1","Influenza A"
"map05164","TR15003-c0_g1_i1","Influenza A"
"map05164","TR13326-c0_g1_i1","Influenza A"
"map05166","TR7749-c0_g1_i1","HTLV-I infection"
"map05166","TR3888-c0_g1_i1utrorf","HTLV-I infection"
"map05166","TR7391-c0_g1_i1","HTLV-I infection"
"map05166","TR14009-c0_g1_i1","HTLV-I infection"
"map05166","TR17-c0_g1_i1","HTLV-I infection"
