"map","locus","path_name"
"map05215","TR7809-c0_g1_i1","Prostate cancer"
"map05215","TR8339-c0_g1_i1","Prostate cancer"
"map05215","TR452-c0_g1_i1","Prostate cancer"
"map05215","TR4884-c1_g1_i1","Prostate cancer"
"map05215","TR4884-c0_g1_i1","Prostate cancer"
"map05215","TR9108-c0_g1_i1","Prostate cancer"
"map05215","TR11348-c0_g1_i1","Prostate cancer"
"map05215","TR5235-c0_g1_i1","Prostate cancer"
"map05215","TR1200-c0_g1_i1","Prostate cancer"
"map05215","TR2059-c0_g1_i1","Prostate cancer"
"map05216","TR10663-c0_g1_i1","Thyroid cancer"
"map05216","TR10057-c0_g1_i1utrorf","Thyroid cancer"
"map05216","TR2059-c0_g1_i1","Thyroid cancer"
"map05216","TR452-c0_g1_i1","Thyroid cancer"
"map05216","TR5875-c0_g1_i1","Thyroid cancer"
"map05216","TR8109-c0_g1_i1","Thyroid cancer"
"map05216","TR7233-c0_g1_i1utrorf","Thyroid cancer"
"map05216","TR9108-c0_g1_i1","Thyroid cancer"
"map05217","TR5235-c0_g1_i1","Basal cell carcinoma"
"map05218","TR9108-c0_g1_i1","Melanoma"
"map05218","TR7233-c0_g1_i1utrorf","Melanoma"
"map05218","TR452-c0_g1_i1","Melanoma"
"map05218","TR10663-c0_g1_i1","Melanoma"
"map05218","TR2059-c0_g1_i1","Melanoma"
"map05218","TR3376-c0_g1_i1","Melanoma"
"map05218","TR8109-c0_g1_i1","Melanoma"
"map05218","TR10057-c0_g1_i1utrorf","Melanoma"
"map05219","TR452-c0_g1_i1","Bladder cancer"
"map05219","TR7233-c0_g1_i1utrorf","Bladder cancer"
"map05219","TR9108-c0_g1_i1","Bladder cancer"
"map05219","TR2059-c0_g1_i1","Bladder cancer"
"map05219","TR10057-c0_g1_i1utrorf","Bladder cancer"
"map05219","TR10663-c0_g1_i1","Bladder cancer"
"map05219","TR8109-c0_g1_i1","Bladder cancer"
"map05220","TR4893-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR9108-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR1200-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR6746-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR6952-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR7233-c0_g1_i1utrorf","Chronic myeloid leukemia"
"map05220","TR452-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR11364-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR2059-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR10057-c0_g1_i1utrorf","Chronic myeloid leukemia"
